t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
56.4,3,0,-0.0707539394497871,0.0219068694859743,0.0130503242835402,0.96504282951355,2.20285377050588e-17,0.997883021831512,0.00211700261570513,0.96504282951355,0.997883021831512,0,0,0.121237838246006
56.6,3,0,-0.0642318055033684,0.0872614160180092,0.0211388058960438,0.891599833965302,1.65114961365976e-17,0.992808938026428,0.00719103310257196,0.891599833965302,0.992808938026428,0,0,0.121242515340512
56.8,3,0,-0.0672756657004356,0.130744785070419,0.199428379535675,0.669826865196228,8.11430762817773e-18,0.914198219776154,0.085801787674427,0.669826865196228,0.914198219776154,0,0,0.121245875844791
57,2,1,-0.0799404457211494,0.234157055616379,0.421945065259933,0.343897849321365,3.85161336469288e-20,0.0743225514888763,0.925677478313446,0.421945065259933,0.925677478313446,0,0,0.12124829037565
57.2,3,1,-0.0914204120635986,0.0252762138843536,0.0989239364862442,0.875799834728241,3.33075038903841e-14,0.254392981529236,0.745606958866119,0.875799834728241,0.745606958866119,0,0,0.121250025222204
57.4,3,1,-0.0750574991106987,0.00220509408973157,0.358716666698456,0.639078259468079,9.83034251331345e-16,0.00775792915374041,0.992242097854614,0.639078259468079,0.992242097854614,0,0,0.121251271713859
57.6,1,1,-0.0730928033590317,0.747727036476135,0.230748042464256,0.021524952724576,1.51785127774418e-16,0.0291619542986155,0.970838069915771,0.747727036476135,0.970838069915771,0,0,0.121252167321278
57.8,1,1,-0.0696456432342529,0.912300527095795,0.0737009644508362,0.0139984954148531,7.96300014757622e-16,0.0376230217516422,0.962376952171326,0.912300527095795,0.962376952171326,0,0,0.121252810817483
58,1,1,-0.0726378634572029,0.909712374210358,0.0764040499925613,0.0138836121186614,1.06116213516636e-15,0.0376154370605946,0.962384581565857,0.909712374210358,0.962384581565857,0,0,0.121253273171141
58.2,1,1,-0.0768402293324471,0.853395044803619,0.0911411568522453,0.0554637797176838,4.24824795423523e-16,0.0367152579128742,0.963284730911255,0.853395044803619,0.963284730911255,0,0,0.121253605373418
58.4,3,1,-0.0679982826113701,0.172651410102844,0.106099493801594,0.721249163150787,1.13293121561139e-14,0.162705555558205,0.837294459342957,0.721249163150787,0.837294459342957,0,0,0.121253844061597
58.6,3,0,-0.0652294084429741,0.0670867115259171,0.0293239485472441,0.903589308261871,1.2704225776976e-15,0.844552040100098,0.155447959899902,0.903589308261871,0.844552040100098,0,0,0.121254015559661
58.8,3,0,-0.0752653181552887,0.046141043305397,0.0187180861830711,0.93514084815979,7.69950798384566e-18,0.998122274875641,0.00187774712685496,0.93514084815979,0.998122274875641,0,0,0.121254138781455
59,3,0,-0.0673989281058311,0.044675350189209,0.0145591711625457,0.94076544046402,8.14875060170383e-18,0.998962998390198,0.00103695609141141,0.94076544046402,0.998962998390198,0,0,0.121254227316627
59.2,3,0,-0.0613517463207245,0.107833571732044,0.0562642402946949,0.835902214050293,6.1970605461865e-18,0.998748540878296,0.00125139416195452,0.835902214050293,0.998748540878296,0,0,0.121254290929372
59.4,3,0,-0.0622037872672081,0.0911245718598366,0.0702171325683594,0.838658273220062,3.92730796461397e-18,0.998865365982056,0.00113469373900443,0.838658273220062,0.998865365982056,0,0,0.121254336635292
59.6,3,0,-0.0636446848511696,0.0802603214979172,0.0590093582868576,0.860730350017548,3.58766925946092e-18,0.998696506023407,0.00130355032160878,0.860730350017548,0.998696506023407,0,0,0.121254369475111
